RecipientCountryCode,Year,ReportingOrgID,ReportingOrgName,ReportingOrgType,TransactionProviderID,TransactionProviderName,TransactionProviderType,checkID,ReportingOrgIDRevised,ReportingOrgNameRevised,ReportingOrgTypeRevised
MM,2022,XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",10,XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",NA,"MM-2022-XM-DAC-3-1-Ministry of Foreign Affairs, Denmark-XM-DAC-3-1-Ministry of Foreign Affairs, Denmark",XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",10
MM,2024,XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",10,XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",NA,"MM-2024-XM-DAC-3-1-Ministry of Foreign Affairs, Denmark-XM-DAC-3-1-Ministry of Foreign Affairs, Denmark",XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",10
MM,2021,XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",10,XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",NA,"MM-2021-XM-DAC-3-1-Ministry of Foreign Affairs, Denmark-XM-DAC-3-1-Ministry of Foreign Affairs, Denmark",XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",10
BD,2021,XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",10,XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",NA,"BD-2021-XM-DAC-3-1-Ministry of Foreign Affairs, Denmark-XM-DAC-3-1-Ministry of Foreign Affairs, Denmark",XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",10
BD,2022,XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",10,XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",NA,"BD-2022-XM-DAC-3-1-Ministry of Foreign Affairs, Denmark-XM-DAC-3-1-Ministry of Foreign Affairs, Denmark",XM-DAC-3-1,"Ministry of Foreign Affairs, Denmark",10
BD,2023,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,BD-2023-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,40
BD,2021,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,BD-2021-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,40
BD,2024,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,BD-2024-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,40
BD,2022,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,BD-2022-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,40
MM,2023,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,MM-2023-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,40
