"DestinationOrganization","DestinationOrganizationID"
"Private (individuals & organizations),Education Above All Foundation","4543,7173"
"Qatar Foundation,Friends of the American University of Afghanistan","14932,15053"
"CARE International,Oxfam,Save the Children,World Vision International,Plan International","3238,744,2849,1850,3369"
"Qatar, Government of,Private (individuals & organizations)","87,4543"
